Puzzle ID,Puzzle String,Backtracking Time,Backtracking Nodes,Backtracking Backtracks,Backtracking Solved,Forward Checking Time,Forward Checking Nodes,Forward Checking Backtracks,Forward Checking Solved,MRV Time,MRV Nodes,MRV Backtracks,MRV Solved
6064,203000708000010000040308090005040800000809000470000031002000300000196000080000040,0.5083,4831,4775,0,7.0845,1417,2069,0,1.8498,417,380,0
6065,000206000600070008004010300009000100300000007060090050506000703080754090020000080,15.5182,142036,141981,0,87.9044,17704,28672,0,0.3230,90,40,0
6066,090000070000609000000050000340906021002000900010040050070802030006401700100597006,6.7547,71084,71032,0,60.3643,13797,19248,0,0.7362,220,181,0
6067,004502300108309407000010000041000670260000038003000500000000000089000240300406009,0.4389,3471,3419,0,1.8732,395,522,0,0.3074,82,33,0
6068,000051900020000005000000740196048050002010800030520691087000000400000010001460000,2.1679,21379,21327,0,13.7381,2957,4059,0,0.5264,171,127,0
6069,900000001001040500206070409004703900010020030308000702000030000070604090100000008,0.3849,3122,3069,0,3.3253,704,970,0,0.3668,93,42,0
6070,040018500000900002906003800108030040500104003030080105004300706600002000007890050,0.0428,396,347,0,0.7018,170,193,0,0.1571,50,2,0
6071,800000005930201086020000030000000000400050002080403090050080040006000100040302060,7.0329,62836,62781,0,65.7344,13801,20930,0,0.5957,162,119,0
6072,001200085560000000040006000100040960700020008084090007000900070000000032420001800,0.7457,6968,6914,0,9.3383,2049,2724,0,0.5775,152,103,0
6073,000020000009080700418090652671050489000000000000168000006000200200706003800000004,0.1198,1221,1169,0,1.3514,311,380,0,0.3134,83,32,0
6074,500003900060070040000240000005400002082010570100008600000092000010050080007800005,0.3487,3506,3452,0,6.1606,1280,1808,0,0.6731,162,121,0
6075,048000310900000008500000007000090000000672000600040005003060700061050930209403506,1.4693,12958,12906,0,3.3754,714,1238,0,0.3502,104,56,0
6076,050000010803000906020609030005010800000507000004080600030408090907000401040000060,0.3037,2702,2649,0,1.9631,447,595,0,0.4062,104,56,0
6077,007603400000040000060518030070000010002000900080309020008000100720000085005070300,5.6023,47904,47850,0,30.1860,6265,10087,0,0.3984,107,55,0
6078,700002300025100004041003000000026800200000001009810000000300640600005180002600009,2.1374,18491,18438,0,14.9763,3152,5021,0,2.3345,578,564,0
6079,000472310000800000040060007004700005620000034300004800200040090000006000069587000,1.1582,10167,10114,0,12.8196,2750,3791,0,0.5182,148,100,0
6080,600000004009000500013490760000971800005806400007524000056082130008000600900000008,0.0813,797,748,0,1.4197,345,382,0,0.2441,74,26,0
6081,710064020005300000800000000970200006080090010600007093000000004000002300030940067,0.9867,8877,8823,0,11.5902,2359,3693,0,0.5511,140,91,0
6082,070450000004093000008021000105000790400000001067000308000970500000210800000038020,1.5181,13443,13390,0,5.9794,1239,1859,0,0.2373,72,20,0
6083,060300020700090001009001500002506003090020070600908400006800300300060005010005080,0.5891,5505,5453,0,11.7567,2698,3587,0,2.0854,533,513,0
6084,030000090008000200107000608000318000040506080053207160000854000400070003080000070,0.4082,4120,4068,0,5.4512,1227,1609,0,0.2942,81,30,0
6085,000100200207000800010703400090000006006090500800000010003407050001000309002008000,1.1467,10053,9997,0,6.9909,1447,1981,0,0.3552,94,40,0
6086,504000000070020005329005000007096000806030109000810700000900561100050090000000304,1.1704,10808,10756,0,18.5624,3969,5802,0,3.0331,706,727,0
6087,000000000024508370010070020430020051000184000000000000070000040540607038203000607,0.6445,5884,5832,0,8.6104,1927,2692,0,0.9000,243,206,0
6088,507064001400700500060000000090403006006000800800506040000000050003001004100650907,1.5757,13444,13391,0,13.9937,3008,4411,0,2.1149,513,483,0
6089,080103050600524008000000000090070080400000006506208701040635010000010000900000005,1.9408,17890,17837,0,8.3311,1772,2503,0,0.9193,229,185,0
